sender_account,receiver_account,amount_inr,timestamp,txn_type,flagged_risk_score
ACC_MULE_3,ACC_CRIM_BOSS,40000,2024-01-16T12:30:00Z,transfer,0.5
ACC_MULE_4,ACC_CRIM_BOSS,35000,2024-01-16T14:30:00Z,transfer,0.45
ACC_MULE_5,ACC_CRIM_BOSS,30000,2024-01-16T16:30:00Z,transfer,0.4
# SECONDARY CRIMINAL NETWORK
ACC_CRIM_BOSS_2,ACC_MULE_SEC_1,300000,2024-01-15T10:00:00Z,transfer,0.85
ACC_CRIM_BOSS_2,ACC_MULE_SEC_2,275000,2024-01-15T12:00:00Z,transfer,0.82
ACC_CRIM_BOSS_2,ACC_MULE_SEC_3,250000,2024-01-15T14:00:00Z,transfer,0.8
ACC_CRIM_BOSS_2,ACC_MULE_SEC_4,225000,2024-01-15T16:00:00Z,transfer,0.78
ACC_CRIM_BOSS_2,ACC_MULE_SEC_5,200000,2024-01-15T18:00:00Z,transfer,0.75
ACC_MULE_SEC_1,ACC_MULE_SEC_2,270000,2024-01-15T13:00:00Z,transfer,0.78
ACC_MULE_SEC_2,ACC_MULE_SEC_3,240000,2024-01-15T15:00:00Z,transfer,0.72
ACC_MULE_SEC_3,ACC_FINAL_SEC_1,210000,2024-01-15T17:30:00Z,transfer,0.68
ACC_MULE_SEC_4,ACC_MULE_SEC_5,180000,2024-01-15T17:00:00Z,transfer,0.65
ACC_MULE_SEC_5,ACC_FINAL_SEC_2,150000,2024-01-15T19:30:00Z,transfer,0.6
# TERTIARY CRIMINAL NETWORK
ACC_CRIM_BOSS_3,ACC_MULE_TERT_1,200000,2024-01-15T11:00:00Z,transfer,0.8
ACC_CRIM_BOSS_3,ACC_MULE_TERT_2,180000,2024-01-15T13:00:00Z,transfer,0.75
ACC_CRIM_BOSS_3,ACC_MULE_TERT_3,160000,2024-01-15T15:00:00Z,transfer,0.7
ACC_MULE_TERT_1,ACC_MULE_TERT_2,162000,2024-01-15T14:00:00Z,transfer,0.7
ACC_MULE_TERT_2,ACC_FINAL_TERT_1,135000,2024-01-15T18:00:00Z,transfer,0.62
# CROSS-NETWORK CONNECTIONS
ACC_CRIM_BOSS,ACC_CRIM_BOSS_2,100000,2024-01-16T08:00:00Z,transfer,0.9
ACC_CRIM_BOSS_2,ACC_CRIM_BOSS,80000,2024-01-16T10:00:00Z,transfer,0.88
ACC_CRIM_BOSS,ACC_CRIM_BOSS_3,75000,2024-01-16T12:00:00Z,transfer,0.85
ACC_CRIM_BOSS_3,ACC_CRIM_BOSS,60000,2024-01-16T14:00:00Z,transfer,0.82
ACC_CRIM_BOSS_2,ACC_CRIM_BOSS_3,50000,2024-01-16T16:00:00Z,transfer,0.78
# NORMAL PERSONAL TRANSACTIONS
ACC_NORMAL_1,ACC_NORMAL_2,5000,2024-01-15T09:00:00Z,transfer,0.1
ACC_NORMAL_2,ACC_NORMAL_1,5000,2024-01-15T18:00:00Z,transfer,0.1
ACC_NORMAL_1,ACC_NORMAL_3,10000,2024-01-15T12:00:00Z,transfer,0.15
ACC_NORMAL_3,ACC_NORMAL_1,10000,2024-01-16T09:00:00Z,transfer,0.15
ACC_NORMAL_2,ACC_NORMAL_4,7500,2024-01-15T15:00:00Z,transfer,0.12
ACC_NORMAL_4,ACC_NORMAL_2,7500,2024-01-16T15:00:00Z,transfer,0.12
ACC_NORMAL_1,ACC_NORMAL_5,3000,2024-01-15T14:00:00Z,transfer,0.08
ACC_NORMAL_5,ACC_NORMAL_1,3000,2024-01-16T14:00:00Z,transfer,0.08
# MORE NORMAL INDIVIDUALS
ACC_NORMAL_6,ACC_NORMAL_7,4000,2024-01-15T10:00:00Z,transfer,0.1
ACC_NORMAL_7,ACC_NORMAL_6,4000,2024-01-15T17:00:00Z,transfer,0.1
ACC_NORMAL_6,ACC_NORMAL_7,4000,2024-01-16T10:00:00Z,transfer,0.1
ACC_NORMAL_7,ACC_NORMAL_6,4000,2024-01-16T17:00:00Z,transfer,0.1
ACC_NORMAL_8,ACC_NORMAL_9,6000,2024-01-15T11:00:00Z,transfer,0.12
ACC_NORMAL_9,ACC_NORMAL_8,6000,2024-01-15T16:00:00Z,transfer,0.12
ACC_NORMAL_8,ACC_NORMAL_9,6000,2024-01-16T11:00:00Z,transfer,0.12
ACC_NORMAL_9,ACC_NORMAL_8,6000,2024-01-16T16:00:00Z,transfer,0.12
# BUSINESS TRANSACTIONS - High value but legitimate
ACC_BUSINESS_A,ACC_BUSINESS_B,100000,2024-01-15T09:30:00Z,transfer,0.2
ACC_BUSINESS_B,ACC_BUSINESS_A,100000,2024-01-15T14:30:00Z,transfer,0.2
ACC_BUSINESS_A,ACC_BUSINESS_C,75000,2024-01-15T11:00:00Z,transfer,0.18
ACC_BUSINESS_C,ACC_BUSINESS_A,75000,2024-01-16T09:30:00Z,transfer,0.18
ACC_BUSINESS_B,ACC_BUSINESS_C,50000,2024-01-15T15:30:00Z,transfer,0.15
ACC_BUSINESS_C,ACC_BUSINESS_B,50000,2024-01-16T15:30:00Z,transfer,0.15
ACC_BUSINESS_A,ACC_BUSINESS_D,60000,2024-01-16T11:00:00Z,transfer,0.16
ACC_BUSINESS_D,ACC_BUSINESS_A,60000,2024-01-16T16:00:00Z,transfer,0.16
# STRUCTURING PATTERN - Frequent small transfers
ACC_STRUCT_1,ACC_STRUCT_2,9000,2024-01-15T08:00:00Z,transfer,0.5
ACC_STRUCT_1,ACC_STRUCT_2,9000,2024-01-15T09:00:00Z,transfer,0.5
ACC_STRUCT_1,ACC_STRUCT_2,9000,2024-01-15T10:00:00Z,transfer,0.5
ACC_STRUCT_1,ACC_STRUCT_2,9000,2024-01-15T11:00:00Z,transfer,0.5
ACC_STRUCT_1,ACC_STRUCT_2,9000,2024-01-15T12:00:00Z,transfer,0.5
ACC_STRUCT_1,ACC_STRUCT_2,9000,2024-01-15T13:00:00Z,transfer,0.5
ACC_STRUCT_2,ACC_STRUCT_3,45000,2024-01-15T14:00:00Z,transfer,0.6
ACC_STRUCT_3,ACC_FINAL_STRUCT,40000,2024-01-15T16:00:00Z,transfer,0.55
# MIXED USE ACCOUNTS - Some legitimate, some suspicious
ACC_MIXED_1,ACC_NORMAL_2,2000,2024-01-15T10:00:00Z,transfer,0.08
ACC_MIXED_1,ACC_MULE_1,15000,2024-01-15T14:00:00Z,transfer,0.4
ACC_MIXED_1,ACC_NORMAL_3,3000,2024-01-15T18:00:00Z,transfer,0.1
ACC_MIXED_1,ACC_MULE_2,20000,2024-01-16T10:00:00Z,transfer,0.45
ACC_MIXED_1,ACC_BUSINESS_A,5000,2024-01-16T14:00:00Z,transfer,0.12
# MORE NORMAL FAMILY TRANSACTIONS
ACC_FAMILY_1,ACC_FAMILY_2,8000,2024-01-15T12:00:00Z,transfer,0.1
ACC_FAMILY_2,ACC_FAMILY_1,8000,2024-01-15T20:00:00Z,transfer,0.1
ACC_FAMILY_1,ACC_FAMILY_3,5000,2024-01-15T15:00:00Z,transfer,0.08
ACC_FAMILY_3,ACC_FAMILY_1,5000,2024-01-16T15:00:00Z,transfer,0.08
ACC_FAMILY_2,ACC_FAMILY_3,3000,2024-01-15T17:00:00Z,transfer,0.06
ACC_FAMILY_3,ACC_FAMILY_2,3000,2024-01-16T17:00:00Z,transfer,0.06
# CRIMINAL LIEUTENANTS - Medium centrality
ACC_MULE_1,ACC_MULE_4,50000,2024-01-15T16:00:00Z,transfer,0.4
ACC_MULE_2,ACC_MULE_5,45000,2024-01-15T17:00:00Z,transfer,0.38
ACC_MULE_3,ACC_MULE_6,40000,2024-01-15T18:00:00Z,transfer,0.35
ACC_MULE_SEC_1,ACC_MULE_SEC_4,35000,2024-01-15T18:30:00Z,transfer,0.32
ACC_MULE_SEC_2,ACC_MULE_SEC_5,30000,2024-01-15T19:30:00Z,transfer,0.3
# ADDITIONAL CROSS-NETWORK FLOWS
ACC_MULE_1,ACC_MULE_SEC_1,25000,2024-01-15T19:00:00Z,transfer,0.35
ACC_MULE_2,ACC_MULE_SEC_2,20000,2024-01-15T20:00:00Z,transfer,0.32
ACC_MULE_SEC_1,ACC_MULE_1,15000,2024-01-16T09:00:00Z,transfer,0.28
ACC_MULE_SEC_2,ACC_MULE_2,12000,2024-01-16T11:00:00Z,transfer,0.25
# SMALL VALUE NORMAL TRANSACTIONS
ACC_NORMAL_10,ACC_NORMAL_11,1500,2024-01-15T13:00:00Z,transfer,0.05
ACC_NORMAL_11,ACC_NORMAL_10,1500,2024-01-15T19:00:00Z,transfer,0.05
ACC_NORMAL_10,ACC_NORMAL_12,2500,2024-01-15T15:00:00Z,transfer,0.06
ACC_NORMAL_12,ACC_NORMAL_10,2500,2024-01-16T15:00:00Z,transfer,0.06
